			 	 	 								 	 		  		 																																					 
	SYMBOL				TOKEN				Attribute Number
	#include				preprocessor				0
	<stdio.h>				header				1
	{				Operator				2
	}				Operator				3
	{				Operator				2
	int				keywords				4
	integer				identifier				5
	;				Operator				6
	char				keywords				7
	c				identifier				8
	;				Operator				6
	float				keywords				9
	b				identifier				10
	;				Operator				6
	scanf				keywords				11
	(				Operator				12
	"%d"				String				13
	,				Operator				14
	&				Operator				15
	a				identifier				16
	)				Operator				17
	;				Operator				6
	scanf				keywords				11
	(				Operator				12
	"%f"				String				18
	,				Operator				14
	&				Operator				15
	b				identifier				10
	)				Operator				17
	;				Operator				6
	if				keywords				19
	(				Operator				12
	a				identifier				16
	==				Operator				20
	0				Number				21
	)				Operator				17
	{				Operator				2
	printf				keywords				22
	(				Operator				12
	"a is zero\n"				String				23
	)				Operator				17
	;				Operator				6
	}				Operator				3
	else				keywords				24
	{				Operator				2
	printf				keywords				22
	(				Operator				12
	"a is non zero\n"				String				25
	)				Operator				17
	;				Operator				6
	}				Operator				3
	while				keywords				26
	(				Operator				12
	a				identifier				16
	)				Operator				17
	{				Operator				2
	while				keywords				26
	(				Operator				12
	b				identifier				10
	)				Operator				17
	{				Operator				2
	printf				keywords				22
	(				Operator				12
	"Inner while loop\n"				String				27
	)				Operator				17
	;				Operator				6
	b				identifier				10
	=				Operator				28
	b				identifier				10
	-				Operator				29
	1.0				Number				30
	;				Operator				6
	}				Operator				3
	printf				keywords				22
	(				Operator				12
	"Outer while loop\n"				String				31
	)				Operator				17
	;				Operator				6
	a				identifier				16
	/=				Operator				32
	2				Number				33
	;				Operator				6
	}				Operator				3
	return				keywords				34
	0				Number				21
	;				Operator				6
	}				Operator				3
